ASIN,Name,Price,Old_Price,Discount,URL
B0B4PPHG8G,"Ninja MC1001 Foodi PossibleCooker PRO 8.5 Quart Multi-Cooker",Deal Price: EUR 93.22,EUR 144.08,35% off,https://www.amazon.com/Ninja-MC1001-PossibleCooker-Multi-Cooker-Integrated/dp/B0B4PPHG8G?ref=dlx_deals_dg_dcl_B0B4PPHG8G_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CJC85HL6,"SONORO KATE 100% French Pure Linen Sheets, Breathable and Durable Linen King Size Sheets, Anti-Tear Linen Bed Sheets, Machine Washable, 16 Inch Deep Pocket - 4 Piece (Natural Linen, King)",Deal Price: EUR 77.25,"SONORO KATE 100% French Pure Linen Sheets, Breathable and Durable Linen King Size Sheets, Anti-Tear Linen Bed Sheets, Machine Washable, 16 Inch Deep Pocket - 4 Piece (Natural Linen, King)",17% off,https://www.amazon.com/SONORO-KATE-Breathable-Anti-Tear-Washable/dp/B0CJC85HL6?ref=dlx_deals_dg_dcl_B0CJC85HL6_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B07T7W7VR3,"QUTOOL Cooling Pillow for Sleeping 2 Pack, Luxury Shredded Memory Foam Bed Queen Pillows Set of 2, Cool Pillow for Hot Sleepers Adjustable Firm Pillow for Side, Back, Stomach Sleepers Soft Yet Support",Deal Price: EUR 33.89,EUR 50.84,33% off,https://www.amazon.com/Sleeping-Shredded-Sleepers-Adjustable-Removable/dp/B07T7W7VR3?ref=dlx_deals_dg_dcl_B07T7W7VR3_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CNDCKXDX,MAREE V Line Lifting Mask with 24K Gold – Deep Collagen Face Mask for Women – Jawline Shaper Mask with Retinol & Hyaluronic Acid – Neck Tightening & Firming - Double Chin Strap for Face Lift,Deal Price: EUR 20.30,,20% off,https://www.amazon.com/MAREE-Gold-Collagen-Facial-Hyaluronic/dp/B0CNDCKXDX?ref=dlx_deals_dg_dcl_B0CNDCKXDX_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CSYKYD5F,KUNMI Women's Flare Bell Bottom Jeans High Waisted Wide Leg Bootcut Jeans Stretchy Denim Pants,Deal Price: EUR 29.08,,22% off,https://www.amazon.com/KUNMI-Womens-Waisted-Bootcut-Stretch/dp/B0CSYKYD5F?ref=dlx_deals_dg_dcl_B0CSYKYD5F_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B00LS9UD2M,LiBa Bathroom Shower Curtain Waterproof Plastic Shower Curtain Premium PEVA Non-Toxic with Rust Proof Grommets Clear 8G Bathroom Accessories 72x72,Deal Price: EUR 7.28,,14% off,https://www.amazon.com/LiBa-Bathroom-Waterproof-Non-Toxic-Accessories/dp/B00LS9UD2M?ref=dlx_deals_dg_dcl_B00LS9UD2M_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0FHWKYT89,"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic, LED Display in Ear Earphones Clear Calls, IP7 Waterproof Bluetooth Earbuds for Phones/Sports/Laptop, White",Deal Price: EUR 16.81,EUR 27.96,40% off,https://www.amazon.com/Bluetooth-Headphones-Cancelling-Earphones-Waterproof/dp/B0FHWKYT89?ref=dlx_deals_dg_dcl_B0FHWKYT89_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CH9XR3G4,"ARZOPA 16"" 2.5K Portable Monitor, 2560x1600 QHD IPS Display 123% sRGB with Built-in Stand USB-C HDMI Eye Care External Second Screen for Mac Laptop Phone PS4/5 Xbox Switch -Z1RC",Deal Price: EUR 88.14,EUR 127.12,31% off,https://www.amazon.com/ARZOPA-Portable-Monitor-2560x1600-Kickstand/dp/B0CH9XR3G4?ref=dlx_deals_dg_dcl_B0CH9XR3G4_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B098HZDKXW,"Pressurized Handheld Multi-Surface Natural Steam Cleaner with 12 pcs Accessories, Multi-Purpose Steamer for Home Use, Steamer for Cleaning Floor, Upholstery, Grout and Car (Grey)",Deal Price: EUR 36.06,EUR 70.34,49% off,https://www.amazon.com/Handheld-Pressurized-Accessory-Multi-Surface-Cleaning/dp/B098HZDKXW?ref=dlx_deals_dg_dcl_B098HZDKXW_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0C5Z8VCHX,"Chefman Electric Kettle, 1.8L 1500W, Hot Water Boiler, Removable Lid for Easy Cleaning, Auto Shut Off, Boil-Dry Protection, Stainless Steel Filter, BPA Free, Borosilicate Glass Electric Tea Kettle",Deal Price: EUR 20.00,EUR 23.72,16% off,https://www.amazon.com/Chefman-Removable-Protection-Stainless-Borosilicate/dp/B0C5Z8VCHX?ref=dlx_deals_dg_dcl_B0C5Z8VCHX_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0DTTQLL1Z,"GROWNSY Nasal Aspirator for Baby, 2-in-1 Electric Nose Spray & Suction, Baby Nose Sucker with Powerful Suction, Music and Light Soothing Function, Pink",Deal Price: EUR 28.81,EUR 33.89,15% off,https://www.amazon.com/GROWNSY-Aspirator-Electric-Powerful-Soothing/dp/B0DTTQLL1Z?ref=dlx_deals_dg_dcl_B0DTTQLL1Z_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
